date,open,high,low,close,volume
2025-04-08,6.43,6.49,6.07,6.19,532066
2025-04-09,6.07,6.27,5.66,6.23,453649
2025-04-10,6.37,6.54,6.32,6.45,425000
2025-04-11,6.39,6.49,6.36,6.45,265465
2025-04-14,6.52,6.78,6.52,6.64,326660
2025-04-15,6.64,6.67,6.53,6.58,190389
2025-04-16,6.58,6.64,6.36,6.46,216255
2025-04-17,6.47,6.63,6.44,6.5,187159
2025-04-18,6.47,6.57,6.43,6.54,147602
2025-04-21,6.5,6.65,6.49,6.65,156141
2025-04-22,6.62,6.64,6.57,6.61,135511
2025-04-23,6.65,6.7,6.6,6.67,216681
2025-04-24,6.68,6.7,6.58,6.59,161471
2025-04-25,6.6,6.68,6.58,6.63,155328
2025-04-28,6.62,6.63,6.52,6.55,125827
2025-04-29,6.57,6.65,6.54,6.56,113725
2025-04-30,6.56,6.65,6.55,6.59,150359
2025-05-06,6.62,6.78,6.6,6.77,244885
2025-05-07,6.81,6.84,6.71,6.76,188563
2025-05-08,6.72,6.79,6.7,6.78,142112
2025-05-09,6.78,6.8,6.66,6.69,142411
2025-05-12,6.75,6.83,6.71,6.83,169098
2025-05-13,6.89,6.95,6.84,6.86,196697
2025-05-14,6.86,6.99,6.85,6.97,247812
2025-05-15,6.95,7.34,6.9,7.14,479394
2025-05-16,7.03,7.34,7.02,7.07,435967
2025-05-19,7.33,7.79,7.33,7.79,1312552
2025-05-20,7.84,8.13,7.66,8.05,1593376
2025-05-21,7.82,7.91,7.66,7.67,798735
2025-05-22,7.57,7.67,7.46,7.47,600769
2025-05-23,7.42,7.61,7.4,7.43,436866
2025-05-26,7.41,7.53,7.34,7.42,310181
2025-05-27,7.48,7.49,7.3,7.35,267346
2025-05-28,7.34,7.47,7.31,7.34,259652
2025-05-29,7.35,7.41,7.27,7.39,214438
2025-05-30,7.35,7.36,7.27,7.29,171194
2025-06-03,7.26,7.39,7.23,7.34,199462
2025-06-04,7.33,7.48,7.32,7.44,243883
2025-06-05,7.4,7.58,7.4,7.5,289192
2025-06-06,7.53,7.71,7.49,7.67,454721
2025-06-09,7.7,7.73,7.58,7.68,351966
2025-06-10,7.66,7.68,7.5,7.57,344607
2025-06-11,7.56,7.85,7.54,7.79,497717
2025-06-12,7.75,7.89,7.68,7.85,445285
2025-06-13,7.81,7.85,7.67,7.72,457611
2025-06-16,7.66,7.74,7.63,7.66,245814
2025-06-17,7.64,7.67,7.58,7.65,208959
2025-06-18,7.65,7.8,7.55,7.71,289961
2025-06-19,7.64,7.68,7.43,7.45,247004
2025-06-20,7.45,7.49,7.37,7.38,151848
2025-06-23,7.38,7.46,7.3,7.42,137454
2025-06-24,7.42,7.57,7.4,7.54,140902
2025-06-25,7.54,7.57,7.46,7.54,175447
2025-06-26,7.53,7.59,7.47,7.56,179947
2025-06-27,7.59,7.77,7.59,7.75,373053
2025-06-30,7.75,7.78,7.63,7.74,275865
2025-07-01,7.74,7.95,7.65,7.91,377716
2025-07-02,7.9,8.01,7.84,7.92,342123
2025-07-03,7.95,8.0,7.85,7.93,206695
2025-07-04,7.87,7.88,7.74,7.79,240806
