date,open,high,low,close,volume
2025-04-08,3.16,3.25,3.15,3.22,401623
2025-04-09,3.19,3.26,3.1,3.25,423401
2025-04-10,3.26,3.31,3.25,3.26,373431
2025-04-11,3.25,3.31,3.24,3.28,280296
2025-04-14,3.3,3.39,3.29,3.34,373257
2025-04-15,3.35,3.35,3.29,3.31,205243
2025-04-16,3.31,3.35,3.28,3.34,264712
2025-04-17,3.33,3.4,3.33,3.35,278541
2025-04-18,3.35,3.37,3.33,3.37,149560
2025-04-21,3.36,3.38,3.34,3.37,209593
2025-04-22,3.36,3.38,3.35,3.36,200729
2025-04-23,3.36,3.38,3.34,3.34,265977
2025-04-24,3.35,3.36,3.33,3.34,203068
2025-04-25,3.34,3.38,3.34,3.35,234496
2025-04-28,3.37,3.39,3.35,3.36,350977
2025-04-29,3.37,3.43,3.36,3.39,343882
2025-04-30,3.4,3.41,3.35,3.35,273262
2025-05-06,3.37,3.41,3.36,3.41,322236
2025-05-07,3.43,3.46,3.41,3.45,314266
2025-05-08,3.44,3.46,3.43,3.46,275964
2025-05-09,3.45,3.47,3.43,3.43,195364
2025-05-12,3.44,3.46,3.42,3.45,197119
2025-05-13,3.46,3.48,3.45,3.46,252605
2025-05-14,3.46,3.49,3.43,3.49,287350
2025-05-15,3.49,3.52,3.48,3.49,246427
2025-05-16,3.51,3.51,3.46,3.47,234153
2025-05-19,3.47,3.52,3.46,3.52,305689
2025-05-20,3.52,3.52,3.48,3.5,259905
2025-05-21,3.5,3.5,3.48,3.48,250455
2025-05-22,3.48,3.49,3.44,3.44,211970
2025-05-23,3.45,3.47,3.42,3.42,251054
2025-05-26,3.42,3.47,3.39,3.44,203983
2025-05-27,3.46,3.46,3.41,3.46,198925
2025-05-28,3.46,3.46,3.43,3.44,138550
2025-05-29,3.44,3.48,3.43,3.48,242013
2025-05-30,3.47,3.5,3.44,3.49,332239
2025-06-03,3.47,3.49,3.44,3.45,430741
2025-06-04,3.46,3.5,3.45,3.5,301799
2025-06-05,3.5,3.56,3.49,3.52,380901
2025-06-06,3.51,3.55,3.51,3.54,304444
2025-06-09,3.55,3.56,3.52,3.55,283459
2025-06-10,3.56,3.56,3.5,3.52,301044
2025-06-11,3.52,3.55,3.51,3.53,227305
2025-06-12,3.53,3.54,3.47,3.49,391610
2025-06-13,3.48,3.49,3.44,3.44,578193
2025-06-16,3.43,3.44,3.39,3.4,509132
2025-06-17,3.4,3.45,3.39,3.44,387158
2025-06-18,3.44,3.45,3.4,3.43,275634
2025-06-19,3.42,3.43,3.39,3.41,275905
2025-06-20,3.41,3.43,3.4,3.4,183987
2025-06-23,3.39,3.43,3.37,3.42,205898
2025-06-24,3.43,3.45,3.41,3.45,259553
2025-06-25,3.45,3.48,3.44,3.47,288343
2025-06-26,3.48,3.49,3.44,3.45,269676
2025-06-27,3.46,3.59,3.45,3.55,866492
2025-06-30,3.61,3.72,3.61,3.7,1373208
2025-07-01,3.72,3.73,3.65,3.69,745495
2025-07-02,3.68,3.73,3.64,3.71,747758
2025-07-03,3.71,3.72,3.66,3.69,541132
2025-07-04,3.69,3.76,3.67,3.69,548809
