date,open,high,low,close,volume
2025-04-08,19.41,19.82,18.21,18.55,152524
2025-04-09,18.49,18.71,17.35,18.65,102861
2025-04-10,19.14,19.55,19.04,19.04,85708
2025-04-11,18.88,19.38,18.85,19.18,58638
2025-04-14,19.72,20.48,19.7,19.78,114580
2025-04-15,19.86,19.99,19.48,19.53,58644
2025-04-16,19.38,19.53,18.98,19.4,48940
2025-04-17,19.24,19.63,19.14,19.36,37792
2025-04-18,19.49,19.87,19.38,19.52,39862
2025-04-21,19.53,19.73,19.4,19.71,30369
2025-04-22,19.61,19.96,19.59,19.77,32535
2025-04-23,19.98,20.16,19.84,20.08,49988
2025-04-24,19.5,19.72,19.09,19.39,88639
2025-04-25,19.39,19.5,19.25,19.31,34977
2025-04-28,19.25,19.28,18.74,18.81,59455
2025-04-29,18.88,18.93,18.7,18.76,32798
2025-04-30,18.8,18.94,18.68,18.79,34448
2025-05-06,18.94,19.26,18.93,19.26,44457
2025-05-07,19.62,20.31,19.35,19.48,89791
2025-05-08,19.41,19.63,19.37,19.61,37640
2025-05-09,19.61,19.65,19.31,19.39,30303
2025-05-12,19.55,19.72,19.52,19.68,35240
2025-05-13,20.06,20.06,19.68,19.7,39572
2025-05-14,19.75,19.82,19.48,19.71,35869
2025-05-15,19.71,19.74,19.51,19.6,36388
2025-05-16,19.64,21.15,19.52,20.46,147299
2025-05-19,20.07,20.46,19.8,20.09,76431
2025-05-20,20.01,20.75,19.97,20.46,83234
2025-05-21,20.4,21.95,20.3,21.82,225532
2025-05-22,21.5,22.1,21.38,21.6,132449
2025-05-23,21.53,21.86,21.07,21.08,86690
2025-05-26,21.01,21.6,20.9,21.13,67980
2025-05-27,21.02,21.57,20.72,20.84,47555
2025-05-28,21.51,22.0,20.88,20.94,89354
2025-05-29,20.8,22.4,20.8,22.11,141304
2025-05-30,22.1,22.8,21.38,21.48,131893
2025-06-03,21.21,21.41,20.68,20.76,81752
2025-06-04,20.78,20.9,20.52,20.68,44861
2025-06-05,20.72,20.75,20.52,20.6,43238
2025-06-06,20.63,20.69,20.15,20.27,56416
2025-06-09,20.29,20.48,20.22,20.31,49717
2025-06-10,20.32,20.45,20.0,20.17,52609
2025-06-11,20.16,20.35,20.09,20.2,48976
2025-06-12,20.15,20.18,19.98,20.02,61212
2025-06-13,19.91,20.13,19.86,20.04,59055
2025-06-16,20.02,20.35,19.91,20.27,53760
2025-06-17,20.19,20.38,20.11,20.33,30273
2025-06-18,20.24,20.25,19.97,20.08,28649
2025-06-19,20.05,20.11,19.92,20.05,30064
2025-06-20,19.95,20.22,19.92,20.06,24293
2025-06-23,19.96,20.07,19.8,20.03,27230
2025-06-24,20.22,20.39,20.2,20.3,39835
2025-06-25,20.33,20.37,20.15,20.35,35948
2025-06-26,20.35,20.4,20.18,20.19,35127
2025-06-27,20.27,20.42,20.2,20.33,34302
2025-06-30,20.33,20.41,20.27,20.33,26392
2025-07-01,20.4,20.41,20.21,20.31,25402
2025-07-02,20.25,20.31,20.15,20.25,22900
2025-07-03,20.3,20.95,20.3,20.54,65816
2025-07-04,20.38,20.54,20.36,20.4,30028
