date,open,high,low,close,volume
2025-04-08,126.78,131.24,126.78,130.76,331857
2025-04-09,129.5,132.84,129.35,132.25,296999
2025-04-10,132.3,133.49,130.5,133.15,233106
2025-04-11,132.2,133.47,130.58,131.6,174293
2025-04-14,131.5,132.67,131.01,131.04,125781
2025-04-15,131.0,131.45,130.08,131.35,114825
2025-04-16,130.8,132.55,129.68,132.3,166680
2025-04-17,131.33,132.99,131.0,132.53,152923
2025-04-18,132.01,132.57,131.21,131.75,89478
2025-04-21,131.59,132.0,130.14,130.34,144364
2025-04-22,130.2,130.74,129.5,130.1,115855
2025-04-23,130.48,130.7,129.55,129.97,95944
2025-04-24,129.8,130.2,129.01,129.06,131524
2025-04-25,129.2,130.22,128.96,129.05,107183
2025-04-28,130.11,131.66,129.9,130.85,185045
2025-04-29,130.15,130.6,129.29,129.55,124796
2025-04-30,129.61,130.3,128.67,128.7,146627
2025-05-06,129.0,129.55,128.07,129.49,146349
2025-05-07,130.9,131.81,129.8,129.99,152470
2025-05-08,129.71,133.0,129.28,131.8,208023
2025-05-09,131.8,132.1,131.01,131.58,110548
2025-05-12,132.0,133.25,131.5,132.97,164560
2025-05-13,133.66,133.66,132.43,132.99,120395
2025-05-14,132.71,137.18,132.17,135.26,291490
2025-05-15,135.01,135.59,133.61,133.67,144944
2025-05-16,133.38,133.59,131.05,131.08,173543
2025-05-19,129.2,130.1,128.88,129.3,237008
2025-05-20,129.0,129.63,128.87,129.13,159369
2025-05-21,129.13,129.88,129.0,129.26,141693
2025-05-22,129.27,129.47,128.84,129.09,96055
2025-05-23,129.05,129.66,128.15,128.15,150380
2025-05-26,127.97,128.15,125.89,126.41,273615
2025-05-27,126.28,126.95,125.89,126.16,151268
2025-05-28,126.3,127.13,125.5,126.92,181385
2025-05-29,126.6,127.5,125.9,127.32,160347
2025-05-30,127.0,127.55,126.0,126.44,146828
2025-06-03,125.18,125.55,124.57,124.68,237483
2025-06-04,124.68,125.22,124.1,124.55,193503
2025-06-05,124.55,125.5,124.19,125.03,202312
2025-06-06,124.97,125.85,124.7,125.09,118885
2025-06-09,125.09,125.2,124.61,124.96,198429
2025-06-10,124.8,125.1,124.28,124.39,171053
2025-06-11,124.4,125.2,124.2,124.7,145473
2025-06-12,124.5,124.55,122.38,122.5,380660
2025-06-13,121.89,121.9,119.02,119.12,366962
2025-06-16,117.83,118.44,117.0,118.27,271489
2025-06-17,118.21,118.84,117.43,117.71,196502
2025-06-18,118.69,119.44,117.87,118.33,200491
2025-06-19,117.55,118.45,117.1,117.28,163572
2025-06-20,117.5,120.0,117.38,119.56,296814
2025-06-23,118.9,119.09,117.79,118.28,173387
2025-06-24,118.57,119.99,118.4,119.75,178958
2025-06-25,120.0,120.22,118.88,120.18,178647
2025-06-26,120.11,120.64,119.63,119.73,166373
2025-06-27,119.71,119.93,119.04,119.18,160216
2025-06-30,119.18,119.58,118.28,118.9,223680
2025-07-01,118.99,118.99,118.28,118.63,122183
2025-07-02,118.63,119.9,118.51,119.18,154477
2025-07-03,119.18,119.83,118.9,119.62,122430
2025-07-04,119.29,120.75,119.19,120.39,170679
