date,open,high,low,close,volume
2025-04-08,6.65,7.11,6.65,7.1,106003
2025-04-09,7.01,7.28,6.8,7.2,92292
2025-04-10,7.2,7.41,7.14,7.36,97860
2025-04-11,7.35,7.77,7.28,7.42,188119
2025-04-14,7.35,7.56,7.26,7.5,130984
2025-04-15,7.46,7.5,7.3,7.4,73715
2025-04-16,7.31,7.4,7.12,7.25,73510
2025-04-17,7.2,7.39,7.13,7.34,66445
2025-04-18,7.39,7.42,7.08,7.1,81547
2025-04-21,7.22,7.54,7.11,7.36,120856
2025-04-22,7.4,7.75,7.35,7.46,118980
2025-04-23,7.47,7.51,7.25,7.26,93145
2025-04-24,7.27,7.47,7.22,7.26,80245
2025-04-25,7.25,7.3,7.16,7.23,64742
2025-04-28,7.39,7.66,7.18,7.18,129735
2025-04-29,7.22,7.32,7.19,7.22,63861
2025-04-30,7.23,7.35,7.21,7.22,71199
2025-05-06,7.28,7.28,7.22,7.27,66899
2025-05-07,7.32,7.64,7.3,7.56,191092
2025-05-08,7.49,7.5,7.37,7.48,95017
2025-05-09,7.55,7.58,7.41,7.55,104509
2025-05-12,7.52,7.54,7.4,7.44,80947
2025-05-13,7.44,7.46,7.35,7.4,63987
2025-05-14,7.38,7.41,7.32,7.41,58008
2025-05-15,7.37,7.72,7.36,7.52,133421
2025-05-16,7.5,7.55,7.39,7.4,73603
2025-05-19,7.39,7.58,7.35,7.57,92552
2025-05-20,7.55,7.67,7.51,7.66,85385
2025-05-21,7.68,7.73,7.64,7.7,93800
2025-05-22,7.74,7.75,7.55,7.58,72844
2025-05-23,7.57,7.65,7.43,7.45,65741
2025-05-26,7.43,7.55,7.41,7.47,45119
2025-05-27,7.49,7.73,7.47,7.67,86050
2025-05-28,7.64,7.71,7.57,7.68,59296
2025-05-29,7.64,7.73,7.58,7.63,67554
2025-05-30,7.64,7.7,7.56,7.58,57290
2025-06-03,7.51,7.67,7.49,7.65,53423
2025-06-04,7.67,7.75,7.6,7.73,67406
2025-06-05,7.72,7.72,7.51,7.54,89795
2025-06-06,7.55,7.61,7.52,7.58,58078
2025-06-09,7.56,7.6,7.51,7.58,70309
2025-06-10,7.58,7.61,7.39,7.48,80880
2025-06-11,7.43,7.51,7.42,7.46,45654
2025-06-12,7.43,7.47,7.37,7.43,54995
2025-06-13,7.41,7.44,7.26,7.3,63573
2025-06-16,7.28,7.36,7.24,7.31,38138
2025-06-17,7.34,7.36,7.26,7.28,38399
2025-06-18,7.25,7.27,7.2,7.23,32801
2025-06-19,7.19,7.22,7.1,7.12,44923
2025-06-20,7.12,7.2,7.11,7.15,37586
2025-06-23,7.11,7.26,7.06,7.22,48132
2025-06-24,7.22,7.3,7.19,7.29,44714
2025-06-25,7.27,7.3,7.21,7.3,39927
2025-06-26,7.31,7.33,7.26,7.29,40325
2025-06-27,7.28,7.33,7.27,7.31,28955
2025-06-30,7.31,7.33,7.24,7.27,40908
2025-07-01,7.27,7.32,7.25,7.31,36996
2025-07-02,7.31,7.37,7.27,7.36,50447
2025-07-03,7.36,7.41,7.33,7.38,36717
2025-07-04,7.41,7.45,7.35,7.37,38067
